customer_id;trans_date;tran_amount
CS1854;29-sep-11;74
CS2863;23-dic-12;102
CS5292;4-sep-13;64
CS3184;7-ene-12;88
CS2049;7-oct-13;66
CS2832;16-jul-13;105
CS2251;12-abr-13;99
CS5667;25-feb-14;66
CS1327;19-feb-12;38
CS4927;12-ago-13;37
CS2302;9-sep-12;100
CS3901;11-sep-12;82
CS5762;21-abr-13;85
CS2289;13-mar-12;89
CS2867;9-feb-12;56
CS2359;10-ago-14;87
CS5814;12-dic-11;72
CS5129;21-jun-11;102
CS2597;3-jun-12;42
CS5838;1-sep-12;96
CS5800;23-abr-12;86
CS3786;16-jul-13;66
CS3659;19-may-12;77
CS4400;3-sep-11;97
CS3026;3-jun-12;55
CS3632;10-feb-13;72
CS1452;23-mar-12;79
CS5140;11-jul-14;97
CS5383;29-dic-13;73
CS4695;17-sep-13;48
CS2368;10-ago-12;66
CS2066;15-jul-11;51
CS5277;12-jul-11;90
CS3025;30-dic-11;72
CS4802;25-jun-11;45
CS6001;16-feb-14;63
CS3981;20-sep-14;74
CS3885;29-abr-14;56
CS5546;28-ago-12;79
CS4964;20-may-14;79
CS4881;21-ene-14;55
CS4103;2-mar-14;40
CS5884;19-dic-12;97
CS2765;18-abr-13;88
CS4438;5-jul-14;72
CS2234;21-dic-14;36
CS3015;30-ene-14;58
CS3755;1-ene-15;45
CS3927;25-mar-14;77
CS5799;8-nov-12;101
CS5708;3-jun-11;89
CS3695;20-abr-13;51
CS1969;23-oct-14;39
CS3854;9-nov-14;104
CS3416;23-feb-15;57
CS1414;1-dic-13;104
CS4732;27-mar-13;96
CS2493;29-dic-12;85
CS5851;19-ene-13;98
CS1678;9-may-14;48
CS2049;19-mar-13;36
CS3676;27-sep-11;43
CS4853;27-mar-12;68
CS4292;4-mar-14;98
CS3152;15-dic-14;40
CS5640;13-ene-14;77
CS5857;26-sep-12;85
CS1472;12-abr-14;72
CS3888;22-feb-12;70
CS5563;23-jun-13;70
CS5104;17-sep-12;99
CS6109;1-nov-13;92
CS2352;6-oct-14;62
CS4024;1-feb-14;39
CS1499;24-dic-11;91
CS3071;15-sep-12;39
CS5638;16-dic-14;58
CS5533;16-may-13;73
CS1961;29-mar-12;75
CS1707;15-sep-11;105
CS3692;17-sep-14;48
CS1275;28-dic-11;102
CS4738;20-mar-13;37
CS3732;12-jun-11;83
CS5676;16-dic-13;44
CS4111;26-jul-12;54
CS2074;5-ene-15;79
CS5815;3-ene-15;92
CS5094;7-mar-15;84
CS5431;5-ene-13;55
CS4540;13-ago-14;55
CS1891;25-mar-13;84
CS4389;22-mar-13;70
CS4412;7-ene-12;47
CS1697;13-jul-14;98
CS2720;11-abr-12;72
CS1152;4-ago-12;71
CS3796;14-sep-13;37
CS6066;23-ago-13;66
CS2643;20-jul-14;69
CS6056;22-mar-14;104
CS3489;9-ene-13;76
CS5229;23-nov-11;58
CS4649;16-dic-14;93
CS4372;27-ago-14;71
CS1790;4-oct-12;100
CS1475;20-ago-12;73
CS2452;5-abr-14;77
CS2781;2-jun-11;51
CS5260;25-sep-14;89
CS5155;25-dic-11;100
CS1582;24-may-14;46
CS4757;19-ago-11;81
CS6039;5-oct-13;104
CS1580;18-nov-12;87
CS3815;5-jul-11;54
CS6063;13-abr-13;104
CS2226;29-oct-14;104
CS5367;8-ene-15;77
CS4581;4-jun-13;95
CS5004;21-dic-14;59
CS2164;6-ago-13;35
CS4590;31-may-14;79
CS4600;3-oct-11;50
CS2122;20-feb-12;90
CS3060;24-ago-12;59
CS2217;19-abr-13;85
CS4288;21-abr-14;68
CS1568;10-may-13;104
CS3442;16-sep-14;39
CS4883;24-dic-13;39
CS4911;17-feb-12;75
CS1533;25-jul-12;86
CS3103;7-may-14;59
CS2185;29-ene-12;46
CS4094;24-jul-13;100
CS4354;29-dic-12;62
CS1939;25-jul-12;46
CS5516;4-dic-12;75
CS5664;2-nov-13;95
CS5068;7-nov-14;41
CS4376;13-oct-14;49
CS5825;22-oct-11;61
CS1871;16-ene-12;64
CS5046;6-feb-15;86
CS1259;30-jun-13;64
CS5664;11-sep-11;58
CS2986;20-jul-11;67
CS5510;2-sep-13;99
CS2845;10-ene-13;73
CS4077;22-jul-12;90
CS3466;4-nov-13;71
CS1508;25-oct-13;101
CS2469;19-jul-14;93
CS2767;3-ene-15;105
CS5790;17-mar-12;58
CS1710;10-jun-13;100
CS2554;5-oct-11;100
CS5283;5-feb-15;63
CS4050;30-ago-14;63
CS5975;8-sep-12;77
CS4227;16-oct-12;74
CS5983;20-may-11;47
CS2490;4-dic-13;70
CS1696;25-dic-12;51
CS3209;25-feb-14;82
CS2942;8-ene-13;62
CS4981;16-oct-11;93
CS1397;26-mar-14;77
CS1903;15-abr-13;92
CS3754;30-nov-13;77
CS4763;12-dic-11;78
CS4413;17-ene-15;38
CS2333;13-ago-11;99
CS2798;30-may-12;100
CS5033;13-dic-11;96
CS1420;9-sep-14;99
CS5132;14-sep-11;74
CS3058;3-sep-12;74
CS3692;22-sep-13;42
CS2463;29-sep-12;55
CS5209;11-nov-11;35
CS4581;16-nov-13;53
CS3424;2-dic-13;85
CS3207;27-jun-13;86
CS5763;23-ene-13;56
CS5772;18-ene-12;97
CS3673;29-abr-13;85
CS2887;2-mar-12;100
CS1596;28-ago-11;66
CS4299;17-jun-12;37
CS1492;6-feb-14;82
CS2313;10-abr-14;40
CS5385;25-abr-14;83
CS3441;3-nov-13;43
CS4701;26-jul-14;53
CS1746;21-jun-13;103
CS3276;27-jul-13;65
CS2555;20-may-12;50
CS2569;29-abr-14;37
CS3426;1-may-14;67
CS3052;17-nov-13;67
CS1993;8-ago-13;68
CS4908;27-sep-14;78
CS3021;10-feb-14;43
CS4424;16-may-13;82
CS4841;23-may-13;74
CS3486;19-nov-12;75
CS2218;11-oct-11;78
CS4779;29-abr-12;53
CS4226;19-abr-13;100
CS1653;30-ago-11;53
CS2533;30-mar-12;99
CS2905;29-jul-12;47
CS5169;25-ene-13;64
CS5142;25-nov-12;64
CS4390;2-jul-14;43
CS5668;27-feb-14;91
CS2896;14-ene-13;71
CS5156;2-oct-13;58
CS4200;12-ago-12;67
CS4391;7-sep-14;67
CS5408;22-jul-13;78
CS6019;25-oct-13;84
CS3981;25-jul-12;40
CS5925;20-jun-13;66
CS3964;14-nov-13;105
CS4688;20-may-13;101
CS1343;2-jun-12;57
CS6024;14-oct-12;45
CS2816;18-dic-11;84
CS2434;20-may-12;41
CS6018;18-may-12;96
CS2072;7-jul-12;63
CS2897;3-dic-13;83
CS1680;14-oct-13;81
CS1638;5-ago-13;84
CS1165;12-abr-12;101
CS4593;4-ene-12;84
CS3414;13-nov-11;46
CS2252;28-feb-13;58
CS3598;30-jul-13;54
CS3642;19-may-14;62
CS5948;10-jul-14;71
CS5582;23-may-14;96
CS6107;23-jul-11;70
CS5201;2-jul-11;79
CS1639;5-may-13;51
CS5884;20-nov-12;52
CS3515;7-jul-14;81
CS2332;29-ago-13;66
CS5628;16-dic-14;94
CS4830;13-abr-12;78
CS1673;4-ene-12;92
CS4993;1-jun-11;86
CS2603;1-jul-13;58
CS1800;20-nov-13;72
CS3911;9-jun-12;83
CS5465;5-dic-11;77
CS2373;29-mar-12;105
CS1241;6-mar-13;104
CS4244;15-feb-13;48
CS5233;5-jun-13;73
CS5405;4-dic-13;87
CS4115;30-nov-11;73
CS4283;23-dic-11;76
CS4420;28-may-14;93
CS4779;8-may-13;41
CS2567;15-jul-11;93
CS3629;30-sep-14;68
CS2026;25-ago-13;66
CS4338;5-jul-13;58
CS4142;20-may-12;100
CS2837;10-nov-12;88
CS1625;5-nov-13;104
CS4873;20-nov-12;83
CS3376;28-ago-12;39
CS4311;27-feb-12;35
CS1396;25-sep-12;86
CS3779;29-ene-14;92
CS1997;9-oct-12;87
CS4540;17-may-12;72
CS5299;22-dic-12;90
CS2253;21-nov-12;99
CS6066;17-mar-14;102
CS6077;22-nov-12;44
CS3300;28-dic-14;86
CS5922;31-mar-12;95
CS6009;13-mar-14;39
CS5064;19-feb-13;97
CS2399;21-abr-14;77
CS5547;27-sep-12;73
CS5114;23-sep-12;96
CS3908;10-nov-11;83
CS4194;24-abr-13;92
CS5342;15-oct-12;82
CS5425;4-ago-12;90
CS1991;29-sep-14;94
CS2693;27-ago-13;61
CS5076;31-ene-15;63
CS3177;8-jun-11;87
CS2809;2-jun-12;60
CS3864;6-dic-13;56
CS2515;11-dic-11;51
CS4487;25-ago-11;100
CS3108;20-ago-11;87
CS1133;28-jul-14;91
CS5919;4-mar-12;97
CS6067;4-sep-12;44
CS4893;24-oct-13;66
CS5750;25-mar-14;48
CS1445;13-nov-11;88
CS1710;26-oct-11;52
CS1927;23-dic-13;97
CS5719;10-jul-11;40
CS2591;29-ene-14;69
CS2416;13-feb-13;59
CS1347;10-feb-13;74
CS3073;13-feb-15;95
CS3590;23-oct-13;104
CS4099;29-may-14;67
CS4109;21-ago-12;40
CS6072;20-dic-11;82
CS3266;17-nov-12;51
CS1433;22-dic-14;72
CS5499;23-jun-11;59
CS1533;20-jul-12;85
CS5405;21-abr-12;91
CS4971;28-may-13;83
CS5461;6-feb-12;47
CS6088;27-ene-13;82
CS1984;4-sep-12;53
CS1184;5-ene-13;102
CS4346;9-dic-12;65
CS5245;29-oct-14;104
CS5402;3-nov-11;84
CS2765;29-ago-11;61
CS5785;20-jun-13;63
CS5767;29-may-13;82
CS2753;17-jun-12;63
CS2252;4-sep-12;68
CS5488;28-jun-12;53
CS5354;23-sep-14;83
CS1470;11-feb-12;95
CS1155;16-oct-11;75
CS5565;4-jun-14;36
CS6073;7-feb-15;104
CS2817;11-jun-14;43
CS3210;29-oct-11;57
CS4688;16-oct-12;59
CS4663;24-feb-13;95
CS4539;28-jul-12;35
CS2580;9-jul-12;42
CS3983;15-oct-12;103
CS2771;2-jul-12;67
CS3635;3-feb-15;38
CS1415;21-ene-12;73
CS2294;4-mar-15;94
CS1405;18-sep-13;43
CS1582;16-ene-14;85
CS2886;9-nov-13;38
CS2770;7-nov-14;80
CS1140;28-dic-14;61
CS2333;25-ene-14;93
CS4752;20-abr-13;95
CS5687;26-jul-11;89
CS4895;11-ene-14;80
CS2786;28-nov-11;66
CS1927;24-may-12;63
CS4327;26-sep-14;36
CS1624;30-mar-13;68
CS5490;19-ago-14;36
CS4395;26-feb-12;66
CS3174;25-ene-13;61
CS2011;6-jun-13;85
CS5553;7-ene-15;98
CS3775;23-feb-12;92
CS2885;8-nov-12;55
CS1206;11-ago-14;90
CS4480;23-may-12;60
CS1488;12-feb-15;65
CS1456;8-feb-13;95
CS4681;3-feb-14;96
CS3170;16-oct-12;85
CS1906;18-may-14;60
CS5774;28-feb-15;78
CS6063;29-sep-11;77
CS2223;17-ene-14;41
CS1848;27-sep-11;48
CS2366;8-abr-14;39
CS5335;13-ene-14;45
CS2899;12-oct-12;55
CS4219;6-dic-13;59
CS5690;19-ene-15;82
CS3410;6-sep-14;97
CS1337;24-jul-14;103
CS4954;2-nov-12;82
CS4400;23-ago-11;67
CS3652;7-feb-15;64
CS5677;28-feb-13;93
CS4992;21-oct-12;83
CS3569;17-ago-14;61
CS2442;30-abr-14;59
CS4160;15-may-12;66
CS5996;18-nov-11;69
CS2345;14-jun-11;60
CS2246;10-ago-11;44
CS2928;16-jul-13;67
CS1740;28-sep-14;102
CS2298;12-sep-11;105
CS5283;1-dic-12;63
CS6084;15-ago-13;64
CS3237;22-ene-13;40
CS4913;22-jul-14;53
CS2104;25-oct-14;81
CS4645;2-dic-13;104
CS1128;23-abr-14;105
CS4639;27-jul-12;39
CS4310;13-sep-11;83
CS3182;18-ene-13;48
CS3347;23-jul-12;38
CS4231;23-feb-15;89
CS4171;31-oct-14;53
CS3137;3-ago-13;92
CS1249;23-may-12;55
CS3455;3-oct-11;98
CS1235;30-may-12;56
CS4454;27-ago-13;57
CS3180;9-mar-14;65
CS2930;16-ene-14;94
CS3838;23-mar-12;82
CS1883;12-oct-14;57
CS5148;19-nov-12;72
CS4952;21-nov-11;54
CS5724;4-nov-11;85
CS1447;19-mar-12;104
CS1693;28-ene-12;59
CS4341;17-mar-14;87
CS3598;8-ago-12;72
CS5659;2-ago-12;100
CS5367;1-dic-14;41
CS1501;27-feb-13;65
CS2134;15-jul-14;77
CS3407;17-sep-14;62
CS3343;3-abr-14;56
CS3506;12-mar-13;103
CS2244;5-may-13;86
CS1243;4-dic-12;70
CS3061;2-dic-13;89
CS4884;10-feb-15;78
CS1590;9-abr-14;39
CS3176;28-jul-14;50
CS5638;12-nov-14;68
CS2122;21-oct-12;83
CS2177;30-ene-15;93
CS3074;27-may-11;61
CS3433;20-dic-12;99
CS3418;2-mar-13;87
CS5821;23-jun-12;70
CS2231;8-ene-15;74
CS5356;1-abr-14;91
CS5803;28-nov-14;96
CS5611;29-dic-14;65
CS5012;31-dic-11;85
CS4967;7-abr-13;98
CS2522;6-oct-14;85
CS2328;20-feb-15;43
CS3530;13-may-13;88
CS5034;1-jun-14;39
CS5784;21-nov-11;75
CS3581;17-ago-11;93
CS3011;14-dic-14;83
CS4152;12-feb-13;41
CS5757;8-feb-14;56
CS5557;23-ene-12;82
CS3988;17-abr-12;51
CS3396;25-dic-11;87
CS4393;10-feb-15;54
CS4629;21-dic-12;35
CS3821;3-jul-13;73
CS3460;19-sep-11;77
CS4948;18-feb-13;84
CS3786;17-oct-11;71
CS5468;8-jun-12;50
CS1545;16-sep-14;55
CS4960;16-feb-14;77
CS3555;5-ago-13;103
CS4587;31-oct-12;104
CS1228;27-sep-11;57
CS5126;22-dic-12;49
CS1453;23-mar-14;45
CS5938;20-nov-12;61
CS3135;31-jul-12;49
CS4444;29-mar-13;102
CS5348;6-dic-14;64
CS1416;27-nov-12;100
CS5400;7-may-14;75
CS2313;23-dic-12;59
CS5187;28-ene-12;42
CS3426;2-abr-13;87
CS2309;31-may-11;60
CS4564;29-mar-13;94
CS3291;30-dic-12;93
CS2607;19-feb-13;50
CS1882;23-sep-14;104
CS2248;17-ago-11;100
CS4082;15-feb-15;49
CS3181;27-abr-14;62
CS2462;25-feb-12;88
CS2336;22-sep-13;86
CS3235;2-jul-12;43
CS2748;11-ene-12;55
CS3668;25-ago-12;86
CS1296;14-ene-14;61
CS5356;12-oct-12;57
CS4079;21-ago-12;68
CS4864;6-ene-14;73
CS2860;24-may-13;74
CS4851;23-abr-13;94
CS5761;28-ene-15;102
CS6082;2-mar-12;48
CS3702;22-may-11;45
CS1512;1-abr-13;54
CS4569;3-jul-14;76
CS2419;6-jul-14;95
CS3942;21-may-13;64
CS4604;7-abr-12;38
CS6056;21-feb-13;98
CS2592;8-sep-13;73
CS5152;30-mar-14;53
CS4282;13-jun-11;46
CS4509;21-ago-12;93
CS2252;23-sep-14;95
CS3367;27-ago-13;98
CS4980;25-ene-12;64
CS3128;3-sep-11;91
CS3331;30-jun-13;99
CS4166;31-dic-12;104
CS5063;20-jun-12;56
CS5971;15-ene-14;94
CS5060;2-oct-13;38
CS5810;30-abr-13;48
CS2860;1-ago-11;78
CS4490;12-sep-14;37
CS5976;22-jul-12;47
CS4775;30-jul-12;86
CS4174;20-nov-12;51
CS5211;13-ene-15;85
CS3450;26-oct-12;80
CS3945;17-nov-12;80
CS2524;12-abr-12;55
CS3379;7-oct-14;101
CS4349;5-feb-12;87
CS2776;1-nov-12;70
CS1839;13-nov-13;77
CS1322;25-nov-13;84
CS3593;25-may-12;81
CS1981;21-may-11;71
CS4054;16-ago-11;99
CS4533;21-ene-15;53
CS2896;29-dic-11;80
CS5616;12-oct-13;37
CS3791;3-jul-14;49
CS1951;29-may-11;73
CS2473;16-jun-13;81
CS5894;17-ago-13;68
CS1633;19-dic-12;62
CS1977;1-jul-13;38
CS6011;21-feb-14;55
CS6044;17-oct-13;36
CS4951;30-oct-13;90
CS2798;2-ago-11;69
CS2197;21-sep-12;70
CS3011;3-feb-14;65
CS1654;16-dic-14;85
CS2424;5-dic-13;101
CS3530;20-abr-14;40
CS1803;18-jul-13;80
CS4627;22-jun-14;50
CS5154;5-ago-12;78
CS3368;4-dic-12;38
CS2435;19-dic-13;86
CS4353;7-feb-15;75
CS5305;14-mar-12;86
CS3539;1-jun-13;64
CS2087;29-nov-12;52
CS5569;7-ago-11;56
CS5038;15-nov-14;75
CS4895;21-ene-13;43
CS2873;26-dic-11;87
CS5184;9-feb-13;51
CS1930;19-abr-13;76
CS4267;20-may-12;38
CS5109;1-ago-14;91
CS5778;25-nov-12;65
CS3400;2-mar-12;97
CS2578;11-sep-13;47
CS3374;25-oct-11;49
CS1492;11-sep-11;101
CS4121;21-ene-13;50
CS5623;1-mar-15;100
CS5118;26-feb-12;65
CS3838;21-ago-14;42
CS3713;1-oct-13;50
CS3104;12-jun-11;51
CS4964;30-abr-12;86
CS5534;20-jul-14;40
CS4723;1-ene-14;88
CS3353;4-dic-14;94
CS3789;13-feb-14;102
CS4141;4-feb-14;88
CS1626;23-dic-12;38
CS2653;7-abr-12;81
CS5227;13-ene-14;49
CS4299;12-jun-13;36
CS4675;2-nov-11;85
CS1474;29-may-12;37
CS4892;23-may-12;60
CS3864;3-ago-14;78
CS4259;5-feb-12;55
CS4674;19-dic-14;75
CS4904;15-jun-14;60
CS1663;15-mar-12;53
CS4527;12-dic-12;99
CS3886;10-abr-12;85
CS6090;26-sep-12;93
CS5633;21-jul-11;54
CS1971;9-mar-13;39
CS2411;26-sep-13;71
CS2168;29-ene-15;65
CS5716;19-mar-12;100
CS3069;15-dic-11;62
CS4123;16-oct-12;60
CS4310;29-sep-14;61
CS1522;21-abr-13;90
CS6085;24-sep-13;65
CS1425;4-ene-15;83
CS1398;2-ago-14;56
CS3410;19-jul-11;69
CS5930;15-abr-14;35
CS3658;28-may-12;37
CS1743;12-abr-14;73
CS5345;7-oct-14;84
CS4853;12-feb-14;45
CS4654;30-abr-14;83
CS4355;30-sep-14;77
CS1609;2-feb-12;45
CS3857;8-nov-13;53
CS4790;24-dic-13;103
CS3261;31-jul-12;72
CS5896;28-sep-12;78
CS4499;19-oct-12;46
CS2305;10-jun-11;71
CS4363;9-oct-14;102
CS5777;29-jul-11;97
CS4557;29-sep-12;93
CS5019;6-nov-12;67
CS4285;27-ene-15;38
CS5264;13-feb-13;79
CS3960;26-may-12;48
CS2263;5-ene-13;96
CS2721;21-sep-13;88
CS3317;15-feb-14;41
CS4849;3-oct-11;73
CS2745;21-jun-12;84
CS3373;3-nov-12;88
CS2287;21-mar-13;59
CS5050;3-mar-15;38
CS3925;2-nov-11;35
CS2528;16-abr-13;102
CS2006;12-jul-11;100
CS1257;11-mar-13;89
CS5855;26-feb-15;63
CS3411;28-feb-15;48
CS5566;20-nov-11;79
CS5050;2-nov-13;97
CS3076;23-may-14;69
CS2898;14-jul-12;62
CS4839;29-dic-11;57
CS5208;14-feb-15;49
CS2148;20-ago-13;97
CS1306;21-ene-12;72
CS4343;31-ene-12;59
CS2699;23-nov-13;64
CS6005;16-feb-13;52
CS2540;28-ago-14;87
CS2934;11-abr-13;77
CS1791;4-jun-14;78
CS5217;15-jun-12;42
CS2329;11-feb-14;67
CS4724;29-oct-12;97
CS1909;26-ago-12;39
CS3421;8-jun-12;41
CS6025;20-feb-14;77
CS4665;27-dic-13;68
CS3708;19-nov-13;77
CS3359;13-mar-13;39
CS5382;29-oct-11;46
CS4703;25-may-11;53
CS1433;20-dic-14;99
CS3001;19-jun-11;100
CS4924;3-ago-14;56
CS4136;7-ene-14;79
CS4224;12-may-13;80
CS1332;12-jul-12;59
CS2962;25-oct-14;71
CS1839;6-feb-14;52
CS6025;8-sep-11;88
CS1903;23-nov-12;91
CS3080;27-mar-13;65
CS2967;19-dic-12;97
CS4084;11-feb-15;53
CS3758;2-abr-14;55
CS2376;21-may-14;58
CS6101;25-jun-11;71
CS4282;28-sep-13;58
CS3595;17-feb-13;81
CS5043;22-mar-14;85
CS3785;2-may-12;95
CS5370;3-oct-14;61
CS2269;24-sep-14;53
CS2979;29-sep-11;98
CS3678;5-sep-12;78
CS2927;31-dic-12;84
CS4491;9-mar-14;57
CS1844;25-nov-11;97
CS3683;14-sep-13;38
CS5057;4-dic-13;90
CS2384;3-ago-13;69
CS3655;29-abr-12;91
CS3810;21-ago-13;71
CS5241;26-oct-12;83
CS3890;22-dic-11;47
CS3155;6-nov-12;68
CS3160;15-sep-11;78
CS4573;3-ago-12;37
CS1558;25-ene-12;86
CS2243;28-ene-12;92
CS2209;9-oct-12;67
CS5182;28-jul-12;86
CS6085;12-sep-14;87
CS4462;8-jul-12;70
CS2989;15-jul-12;58
CS1683;22-ago-13;82
CS4418;23-jul-12;79
CS3404;21-sep-14;84
CS3052;31-dic-11;92
CS2618;10-ago-14;90
CS5489;22-ene-12;104
CS1396;15-mar-13;53
CS2904;19-oct-12;46
CS3281;7-sep-13;53
CS4026;27-dic-14;91
CS3249;9-ago-12;35
CS2591;17-may-12;83
CS5420;15-may-14;43
CS5721;27-mar-13;97
CS5065;2-ene-14;79
CS1826;15-abr-13;95
CS4578;5-sep-13;98
CS1948;5-mar-13;94
CS3930;9-jun-13;41
CS6096;31-oct-11;103
CS3157;20-mar-12;100
CS2232;20-ene-13;97
CS2502;4-mar-14;91
CS1862;16-jul-14;60
CS4054;12-jun-13;80
CS5791;27-jun-12;36
CS5484;4-nov-12;54
CS1938;4-jul-13;53
CS4203;20-nov-12;79
CS5514;18-ago-12;70
CS1549;5-may-12;88
CS4587;19-may-13;46
CS1194;24-mar-14;52
CS2787;29-oct-11;45
CS1583;16-sep-13;84
CS2615;29-abr-13;98
CS3163;14-jun-12;40
CS3250;21-nov-11;72
CS2119;9-dic-14;104
CS5983;3-sep-14;38
CS5531;17-may-11;58
CS1820;17-oct-13;94
CS5131;6-abr-13;91
CS2512;7-jun-14;88
CS2531;8-mar-14;46
CS5620;8-jun-13;55
CS2913;13-feb-12;55
CS4239;17-feb-12;77
CS4654;16-jul-13;48
CS5942;24-nov-11;101
CS4721;3-may-12;35
CS2687;22-dic-13;81
CS2305;6-feb-15;58
CS3525;29-abr-12;57
